Year,Alabama,Alaska,Arizona,Arkansas,California,Colorado,Connecticut,Delaware,Florida,Georgia,Hawaii,Idaho,Illinois,Indiana,Iowa,Kansas,Kentucky,Louisiana,Maine,Maryland,Massachusetts,Michigan,Minnesota,Mississippi,Missouri,Montana,Nebraska,Nevada,New Hampshire,New Jersey,New Mexico,New York,North Carolina,North Dakota,Ohio,Oklahoma,Oregon,Pennsylvania,Rhode Island,South Carolina,South Dakota,Tennessee,Texas,Utah,Vermont,Virginia,Washington,West Virginia,Wisconsin,Wyoming,Washington DC
2012,0.387837715,0.426847095,0.453866198,0.378455946,0.618728112,0.527480072,0.587730064,0.594469549,0.504422521,0.460433509,0.717038485,0.335786132,0.585775234,0.447888692,0.529593519,0.389396637,0.384572276,0.412531744,0.578599214,0.633217258,0.617885674,0.548005321,0.539412265,0.441981008,0.452213332,0.429657681,0.388706097,0.534075422,0.52833752,0.589846947,0.552952046,0.643009914,0.489659651,0.398821049,0.515145525,0.332276803,0.562711672,0.52731934,0.64016746,0.446917453,0.407815009,0.396489285,0.419921028,0.253738111,0.682472588,0.519673767,0.576282983,0.363257024,0.535163824,0.28839366,0.925876492
2008,0.391090972,0.389352151,0.456860993,0.398282794,0.622784496,0.545508077,0.61318362,0.626381386,0.514176956,0.473716645,0.729937259,0.369754102,0.62734264,0.505219534,0.548487778,0.423877242,0.417665724,0.405428258,0.58829525,0.629300873,0.631970904,0.583713016,0.55229375,0.43358069,0.499324209,0.487686985,0.423909256,0.563867381,0.548685411,0.578646299,0.576649,0.635766811,0.501659633,0.455712398,0.523338408,0.343549189,0.584137212,0.552297038,0.641981375,0.454555708,0.457042928,0.423685282,0.440640632,0.354736386,0.688991817,0.531825844,0.587520268,0.433262562,0.570556782,0.334379766,0.934007683
2004,0.371022286,0.36773717,0.44724995,0.450642517,0.550413205,0.476335735,0.552749476,0.538315062,0.474763204,0.416457673,0.54404448,0.306772618,0.55208634,0.395765238,0.496633207,0.371329012,0.399923801,0.426690587,0.545830164,0.565655842,0.627428555,0.517258445,0.517609106,0.400755856,0.463802873,0.394999238,0.331526627,0.486824043,0.506902886,0.533705363,0.495996641,0.592877657,0.43758028,0.360906459,0.489412393,0.344295983,0.521086258,0.512582821,0.605775106,0.413646414,0.390867092,0.428018074,0.384898081,0.266535608,0.603010021,0.458663033,0.536465377,0.435202894,0.501918033,0.296872968,0.905202786
2000,0.424144716,0.320630514,0.467174008,0.471993105,0.5620299,0.455141642,0.59255658,0.567400648,0.499953906,0.440162464,0.598272963,0.291515095,0.561800103,0.419952175,0.501627792,0.390830925,0.42272213,0.46060754,0.527478415,0.584708246,0.647893438,0.526346065,0.51286412,0.413991499,0.482880513,0.36343638,0.348205191,0.481431615,0.493321998,0.582114094,0.50031926,0.631001123,0.43536003,0.352726034,0.481815683,0.389193288,0.50235892,0.521484787,0.656491161,0.418523954,0.383852874,0.480371332,0.390437299,0.282744946,0.554403509,0.458527637,0.52944771,0.46757926,0.501150683,0.290176944,0.904876945
1996,0.462661288,0.395714975,0.512237712,0.593528249,0.572162716,0.492407924,0.603635069,0.586236566,0.531549612,0.493677308,0.642761518,0.392009724,0.596050922,0.468515936,0.557333889,0.399276345,0.505290512,0.565608383,0.626621204,0.586384235,0.686398354,0.573244134,0.593793888,0.472527762,0.535470375,0.483125895,0.394451775,0.505865314,0.556106662,0.599667853,0.540241306,0.660174959,0.474700133,0.46088681,0.535969492,0.455993909,0.546931157,0.551612054,0.690042134,0.467792844,0.480664146,0.512866423,0.473393766,0.379805122,0.631828304,0.489394055,0.571946528,0.583546652,0.559191967,0.425120826,0.901235482
1992,0.461788735,0.43425738,0.48698096,0.599922671,0.585167288,0.528020655,0.541251167,0.551979927,0.488152166,0.503421285,0.567199777,0.40338517,0.585882182,0.461651055,0.537325291,0.464589444,0.518687777,0.526651379,0.560558729,0.582999,0.620923468,0.546151596,0.577213402,0.450715105,0.565069661,0.517240571,0.386946536,0.518247775,0.507965514,0.514203184,0.551421568,0.594783477,0.495415357,0.421252952,0.511681633,0.443778817,0.566338915,0.555485295,0.618437228,0.453646616,0.477389662,0.525980366,0.477578368,0.362464209,0.602542014,0.474449871,0.575917011,0.577688381,0.527945085,0.462079766,0.902970696
1988,0.402544316,0.378366826,0.392565085,0.428083573,0.481926895,0.460461756,0.474188495,0.437588104,0.387479284,0.397963837,0.54806276,0.367121771,0.48950723,0.398740089,0.551484811,0.432724983,0.441462322,0.448087077,0.442289813,0.485355698,0.539822423,0.4602195,0.535508599,0.39478917,0.480030883,0.470118103,0.394543021,0.391814108,0.367663673,0.430988424,0.474900843,0.520685942,0.418424621,0.434046443,0.445259353,0.416101877,0.523836808,0.48830453,0.558778706,0.379278544,0.468076212,0.417813595,0.436536671,0.326121252,0.482182869,0.396410539,0.508077118,0.523768932,0.518234663,0.385751236,0.852457526
1984,0.387366046,0.309440874,0.328832724,0.387724119,0.417754652,0.356341518,0.390008312,0.400463273,0.346675868,0.398021799,0.442962758,0.267244288,0.435267467,0.379265709,0.462761747,0.329705229,0.396066123,0.385808388,0.389308821,0.472424728,0.486016698,0.40453675,0.500908908,0.37721291,0.399752493,0.386986012,0.289952463,0.326843184,0.310740077,0.394786089,0.396504019,0.45982281,0.379721371,0.342654176,0.405293073,0.308901742,0.438952887,0.462992685,0.481702698,0.358819553,0.367004868,0.418181519,0.362136948,0.24879979,0.413350893,0.373243121,0.434288567,0.447275657,0.453761812,0.285996002,0.861477339
1980,0.493236617,0.327008144,0.317879132,0.496802941,0.40529057,0.360674039,0.444428037,0.487332147,0.409492371,0.576563158,0.510840592,0.274867732,0.456603376,0.402026713,0.429368497,0.365245106,0.49246739,0.47189114,0.480905166,0.516191381,0.49909327,0.464535891,0.522144122,0.493216678,0.464345857,0.363347555,0.284346306,0.300726713,0.329323076,0.425908555,0.400917333,0.485285216,0.489003174,0.290192902,0.44264515,0.366278667,0.444474062,0.461383641,0.561660555,0.492145765,0.343665411,0.498500775,0.428326592,0.22034815,0.464000589,0.431841395,0.429046539,0.523697817,0.474096914,0.30867374,0.848167301
1976,0.56666724,0.381081712,0.41386697,0.650228341,0.490821727,0.440647255,0.473899833,0.527460235,0.526802019,0.669382949,0.512826312,0.382670094,0.489971663,0.461512222,0.494838736,0.461244592,0.536540286,0.529595751,0.495688211,0.530354199,0.581146222,0.47256226,0.56641982,0.509665778,0.518419071,0.462156539,0.393820663,0.477306041,0.442590761,0.488993315,0.487552325,0.522245876,0.555532925,0.469966983,0.5013853,0.493847795,0.499128268,0.513571391,0.556723773,0.565677288,0.492569656,0.565729446,0.515985032,0.350199416,0.442551425,0.493135811,0.479797064,0.580696814,0.508616437,0.401655954,0.831777224
