model,state_name,state_abbr,trump,biden
Drord Mapmaking,Alabama,AL,1,0
Drord Mapmaking,Alaska,AK,0.9978,0.0022
Drord Mapmaking,Arizona,AZ,0.312,0.688
Drord Mapmaking,Arkansas,AR,1,0
Drord Mapmaking,California,CA,0,1
Drord Mapmaking,Colorado,CO,0.0044,0.9956
Drord Mapmaking,Connecticut,CT,0,1
Drord Mapmaking,Delaware,DE,0,1
Drord Mapmaking,Florida,FL,0.1458,0.8542
Drord Mapmaking,Georgia,GA,0.5143,0.4857
Drord Mapmaking,Hawaii,HI,0,1
Drord Mapmaking,Idaho,ID,1,0
Drord Mapmaking,Illinois,IL,0,1
Drord Mapmaking,Indiana,IN,0.9889,0.0111
Drord Mapmaking,Iowa,IA,0.6226,0.3774
Drord Mapmaking,Kansas,KS,1,0
Drord Mapmaking,Kentucky,KY,1,0
Drord Mapmaking,Louisiana,LA,0.9996,0.0004
Drord Mapmaking,Maine,ME,0.005,0.995
Drord Mapmaking,Maryland,MD,0,1
Drord Mapmaking,Massachusetts,MA,0,1
Drord Mapmaking,Michigan,MI,0.0586,0.9414
Drord Mapmaking,Minnesota,MN,0.0135,0.9865
Drord Mapmaking,Mississippi,MS,0.9984,0.0016
Drord Mapmaking,Missouri,MO,0.9893,0.0107
Drord Mapmaking,Montana,MT,0.9994,0.0006
Drord Mapmaking,Nebraska,NE,1,0
Drord Mapmaking,Nevada,NV,0.0034,0.9966
Drord Mapmaking,New Hampshire,NH,0.0381,0.9619
Drord Mapmaking,New Jersey,NJ,0,1
Drord Mapmaking,New Mexico,NM,0,1
Drord Mapmaking,New York,NY,0,1
Drord Mapmaking,North Carolina,NC,0.2917,0.7083
Drord Mapmaking,North Dakota,ND,1,0
Drord Mapmaking,Ohio,OH,0.5129,0.4871
Drord Mapmaking,Oklahoma,OK,1,0
Drord Mapmaking,Oregon,OR,0,1
Drord Mapmaking,Pennsylvania,PA,0.0513,0.9487
Drord Mapmaking,Rhode Island,RI,0,1
Drord Mapmaking,South Carolina,SC,0.9947,0.0053
Drord Mapmaking,South Dakota,SD,0.9993,0.0007
Drord Mapmaking,Tennessee,TN,0.9998,0.0002
Drord Mapmaking,Texas,TX,0.7752,0.2248
Drord Mapmaking,Utah,UT,0.6206,0.3794
Drord Mapmaking,Vermont,VT,0,1
Drord Mapmaking,Virginia,VA,0.0008,0.9992
Drord Mapmaking,Washington,WA,0,1
Drord Mapmaking,West Virginia,WV,1,0
Drord Mapmaking,Wisconsin,WI,0.034,0.966
Drord Mapmaking,Wyoming,WY,1,0
Drord Mapmaking,District of Columbia,DC,0,1
Drord Mapmaking,ME-1,ME-1,0.0173,0.9827
Drord Mapmaking,ME-2,ME-2,0.4616,0.5384
Drord Mapmaking,NE-1,NE-1,0.8775,0.1225
Drord Mapmaking,NE-2,NE-2,0.3168,0.6832
Drord Mapmaking,NE-3,NE-3,0.9996,0.0004
