model,state_name,state_abbr,trump,biden
New Statesman,Alabama,AL,0.98,0.02
New Statesman,Alaska,AK,0.888,0.112
New Statesman,Arizona,AZ,0.372,0.628
New Statesman,Arkansas,AR,0.993,0.007
New Statesman,California,CA,0,1
New Statesman,Colorado,CO,0.05,0.95
New Statesman,Connecticut,CT,0.001,0.999
New Statesman,Delaware,DE,0.001,0.999
New Statesman,Florida,FL,0.333,0.667
New Statesman,Georgia,GA,0.43,0.57
New Statesman,Hawaii,HI,0,1
New Statesman,Idaho,ID,1,0
New Statesman,Illinois,IL,0.003,0.997
New Statesman,Indiana,IN,0.958,0.042
New Statesman,Iowa,IA,0.585,0.415
New Statesman,Kansas,KS,0.882,0.118
New Statesman,Kentucky,KY,0.999,0.001
New Statesman,Louisiana,LA,0.963,0.037
New Statesman,Maine,ME,0.053,0.947
New Statesman,Maryland,MD,0,1
New Statesman,Massachusetts,MA,0,1
New Statesman,Michigan,MI,0.202,0.798
New Statesman,Minnesota,MN,0.139,0.861
New Statesman,Mississippi,MS,0.986,0.014
New Statesman,Missouri,MO,0.896,0.104
New Statesman,Montana,MT,0.888,0.112
New Statesman,Nebraska,NE,0.958,0.042
New Statesman,Nevada,NV,0.176,0.824
New Statesman,New Hampshire,NH,0.129,0.871
New Statesman,New Jersey,NJ,0.001,0.999
New Statesman,New Mexico,NM,0.047,0.953
New Statesman,New York,NY,0,1
New Statesman,North Carolina,NC,0.373,0.627
New Statesman,North Dakota,ND,1,0
New Statesman,Ohio,OH,0.582,0.418
New Statesman,Oklahoma,OK,0.999,0.001
New Statesman,Oregon,OR,0.001,0.999
New Statesman,Pennsylvania,PA,0.262,0.738
New Statesman,Rhode Island,RI,0,1
New Statesman,South Carolina,SC,0.835,0.165
New Statesman,South Dakota,SD,0.994,0.006
New Statesman,Tennessee,TN,0.994,0.006
New Statesman,Texas,TX,0.597,0.403
New Statesman,Utah,UT,0.974,0.026
New Statesman,Vermont,VT,0,1
New Statesman,Virginia,VA,0.017,0.983
New Statesman,Washington,WA,0,1
New Statesman,West Virginia,WV,1,0
New Statesman,Wisconsin,WI,0.211,0.789
New Statesman,Wyoming,WY,1,0
New Statesman,District of Columbia,DC,0,1
New Statesman,ME-1,ME-1,0.053,0.947
New Statesman,ME-2,ME-2,0.053,0.947
New Statesman,NE-1,NE-1,0.958,0.042
New Statesman,NE-2,NE-2,0.958,0.042
New Statesman,NE-3,NE-3,0.958,0.042
