model,state_name,state_abbr,trump,biden
PredictIt,Alabama,AL,0.98,0.02
PredictIt,Alaska,AK,0.9019607843137255,0.09803921568627451
PredictIt,Arizona,AZ,0.39999999999999997,0.6
PredictIt,Arkansas,AR,0.9801980198019802,0.019801980198019802
PredictIt,California,CA,0.06930693069306931,0.9306930693069306
PredictIt,Colorado,CO,0.1,0.9
PredictIt,Connecticut,CT,0.05,0.95
PredictIt,Delaware,DE,0.039603960396039604,0.9603960396039604
PredictIt,District of Columbia,DC,0.03,0.97
PredictIt,Florida,FL,0.5514018691588786,0.44859813084112155
PredictIt,Georgia,GA,0.5576923076923076,0.4423076923076923
PredictIt,Hawaii,HI,0.07766990291262135,0.9223300970873786
PredictIt,Idaho,ID,0.9801980198019802,0.019801980198019802
PredictIt,Illinois,IL,0.06862745098039216,0.9313725490196078
PredictIt,Indiana,IN,0.9595959595959596,0.04040404040404041
PredictIt,Iowa,IA,0.75,0.25
PredictIt,Kansas,KS,0.9320388349514562,0.0679611650485437
PredictIt,Kentucky,KY,0.9702970297029703,0.0297029702970297
PredictIt,Louisiana,LA,0.98989898989899,0.010101010101010102
PredictIt,Maine,ME,0.0784313725490196,0.9215686274509803
PredictIt,Maryland,MD,0.06,0.94
PredictIt,Massachusetts,MA,0.04950495049504951,0.9504950495049505
PredictIt,ME-1,ME-1,0.049019607843137254,0.9509803921568627
PredictIt,ME-2,ME-2,0.4215686274509804,0.5784313725490196
PredictIt,Michigan,MI,0.2524271844660194,0.7475728155339806
PredictIt,Minnesota,MN,0.23300970873786406,0.7669902912621359
PredictIt,Mississippi,MS,0.97,0.03
PredictIt,Missouri,MO,0.9393939393939394,0.06060606060606061
PredictIt,Montana,MT,0.8910891089108911,0.10891089108910891
PredictIt,NE-1,NE-1,0.9423076923076923,0.05769230769230769
PredictIt,NE-2,NE-2,0.2857142857142857,0.7142857142857143
PredictIt,NE-3,NE-3,0.98989898989899,0.010101010101010102
PredictIt,Nebraska,NE,0.9801980198019802,0.019801980198019802
PredictIt,Nevada,NV,0.24,0.76
PredictIt,New Hampshire,NH,0.19801980198019803,0.801980198019802
PredictIt,New Jersey,NJ,0.0594059405940594,0.9405940594059405
PredictIt,New Mexico,NM,0.1188118811881188,0.8811881188118812
PredictIt,New York,NY,0.07920792079207921,0.9207920792079208
PredictIt,North Carolina,NC,0.47115384615384615,0.5288461538461539
PredictIt,North Dakota,ND,0.98,0.02
PredictIt,Ohio,OH,0.7272727272727273,0.27272727272727276
PredictIt,Oklahoma,OK,0.9801980198019802,0.019801980198019802
PredictIt,Oregon,OR,0.09090909090909091,0.9090909090909092
PredictIt,Pennsylvania,PA,0.3495145631067961,0.6504854368932039
PredictIt,Rhode Island,RI,0.05050505050505051,0.9494949494949495
PredictIt,South Carolina,SC,0.94,0.06
PredictIt,South Dakota,SD,0.9611650485436893,0.038834951456310676
PredictIt,Tennessee,TN,0.9603960396039604,0.039603960396039604
PredictIt,Texas,TX,0.6698113207547169,0.330188679245283
PredictIt,Utah,UT,0.97,0.03
PredictIt,Vermont,VT,0.049019607843137254,0.9509803921568627
PredictIt,Virginia,VA,0.10891089108910891,0.8910891089108911
PredictIt,Washington,WA,0.0594059405940594,0.9405940594059405
PredictIt,West Virginia,WV,0.98989898989899,0.010101010101010102
PredictIt,Wisconsin,WI,0.24509803921568626,0.7549019607843137
PredictIt,Wyoming,WY,0.99,0.01
