model,state_name,state_abbr,trump,biden
JHK,Alabama,AL,1,0
JHK,Alaska,AK,0.8692,0.1308
JHK,Arizona,AZ,0.2672,0.7328
JHK,Arkansas,AR,1,0
JHK,California,CA,0,1
JHK,Colorado,CO,0.004699999999999999,0.9953
JHK,Connecticut,CT,0,1
JHK,Delaware,DE,0,1
JHK,District of Columbia,DC,0,1
JHK,Florida,FL,0.2516,0.7484000000000001
JHK,Georgia,GA,0.3318,0.6681999999999999
JHK,Hawaii,HI,0,1
JHK,Idaho,ID,0.9954999999999999,0.0045000000000000005
JHK,Illinois,IL,0,1
JHK,Indiana,IN,0.9954000000000001,0.0046
JHK,Iowa,IA,0.5531,0.44689999999999996
JHK,Kansas,KS,0.9968,0.0032
JHK,Kentucky,KY,1,0
JHK,Louisiana,LA,0.9998999999999999,1e-4
JHK,Maine,ME,0.0034999999999999996,0.9965
JHK,Maryland,MD,0,1
JHK,Massachusetts,MA,0,1
JHK,ME-1,ME-1,1e-4,0.9998999999999999
JHK,ME-2,ME-2,0.34450000000000003,0.6555
JHK,Michigan,MI,0.0392,0.9608
JHK,Minnesota,MN,0.019799999999999998,0.9802
JHK,Mississippi,MS,0.9998999999999999,1e-4
JHK,Missouri,MO,0.993,0.006999999999999999
JHK,Montana,MT,0.9440999999999999,0.0559
JHK,NE-1,NE-1,0.9992,8e-4
JHK,NE-2,NE-2,0.1456,0.8543999999999999
JHK,NE-3,NE-3,1,0
JHK,Nebraska,NE,0.9998,2e-4
JHK,Nevada,NV,0.078,0.922
JHK,New Hampshire,NH,0.024700000000000003,0.9753000000000001
JHK,New Jersey,NJ,0,1
JHK,New Mexico,NM,7.000000000000001e-4,0.9993000000000001
JHK,New York,NY,0,1
JHK,North Carolina,NC,0.3028,0.6972
JHK,North Dakota,ND,1,0
JHK,Ohio,OH,0.5825,0.4175
JHK,Oklahoma,OK,1,0
JHK,Oregon,OR,1e-4,0.9998999999999999
JHK,Pennsylvania,PA,0.0906,0.9094
JHK,Rhode Island,RI,2e-4,0.9998
JHK,South Carolina,SC,0.9731000000000001,0.0269
JHK,South Dakota,SD,1,0
JHK,Tennessee,TN,1,0
JHK,Texas,TX,0.6606000000000001,0.3394
JHK,Utah,UT,0.995,0.005
JHK,Vermont,VT,0,1
JHK,Virginia,VA,0.0011,0.9989
JHK,Washington,WA,0,1
JHK,West Virginia,WV,0.9998999999999999,1e-4
JHK,Wisconsin,WI,0.035,0.965
JHK,Wyoming,WY,0.9986,0.0014000000000000002
