model,state_name,state_abbr,trump,biden
The Cycle,Alabama,AL,1,0
The Cycle,Alaska,AK,0.68,0.32
The Cycle,Arizona,AZ,0.17,0.83
The Cycle,Arkansas,AR,1,0
The Cycle,California,CA,0,1
The Cycle,Colorado,CO,0.01,0.99
The Cycle,Connecticut,CT,0,1
The Cycle,Delaware,DE,0,1
The Cycle,Florida,FL,0.24,0.76
The Cycle,Georgia,GA,0.44,0.56
The Cycle,Hawaii,HI,0,1
The Cycle,Idaho,ID,1,0
The Cycle,Illinois,IL,0,1
The Cycle,Indiana,IN,0.97,0.03
The Cycle,Iowa,IA,0.63,0.37
The Cycle,Kansas,KS,0.93,0.07
The Cycle,Kentucky,KY,1,0
The Cycle,Louisiana,LA,0.99,0.01
The Cycle,Maine,ME,0.03,0.97
The Cycle,Maryland,MD,0,1
The Cycle,Massachusetts,MA,0,1
The Cycle,Michigan,MI,0.12,0.88
The Cycle,Minnesota,MN,0.05,0.95
The Cycle,Mississippi,MS,0.95,0.05
The Cycle,Missouri,MO,0.99,0.01
The Cycle,Montana,MT,0.93,0.07
The Cycle,Nebraska,NE,1,0
The Cycle,Nevada,NV,0.05,0.95
The Cycle,New Hampshire,NH,0.06,0.94
The Cycle,New Jersey,NJ,0,1
The Cycle,New Mexico,NM,0.01,0.99
The Cycle,New York,NY,0,1
The Cycle,North Carolina,NC,0.21,0.79
The Cycle,North Dakota,ND,1,0
The Cycle,Ohio,OH,0.66,0.34
The Cycle,Oklahoma,OK,1,0
The Cycle,Oregon,OR,0,1
The Cycle,Pennsylvania,PA,0.11,0.89
The Cycle,Rhode Island,RI,0,1
The Cycle,South Carolina,SC,0.88,0.12
The Cycle,South Dakota,SD,1,0
The Cycle,Tennessee,TN,1,0
The Cycle,Texas,TX,0.49,0.51
The Cycle,Utah,UT,0.95,0.05
The Cycle,Vermont,VT,0,1
The Cycle,Virginia,VA,0.01,0.99
The Cycle,Washington,WA,0,1
The Cycle,West Virginia,WV,1,0
The Cycle,Wisconsin,WI,0.2,0.8
The Cycle,Wyoming,WY,1,0
The Cycle,District of Columbia,DC,0,1
The Cycle,ME-1,ME-1,0,1
The Cycle,ME-2,ME-2,0.64,0.36
The Cycle,NE-1,NE-1,0.98,0.02
The Cycle,NE-2,NE-2,0.15,0.85
The Cycle,NE-3,NE-3,1,0
